Date,Open,High,Low,Close,Adj Close,Volume,Company
2022-02-22,388.950012,392.420013,373.019989,377.380005,377.380005,6697500,NFLX
2022-02-23,382.720001,386.0,366.660004,367.459991,367.459991,4614300,NFLX
2022-02-24,355.089996,390.730011,354.720001,390.029999,390.029999,7068700,NFLX
2022-02-25,386.609985,391.290009,375.579987,390.799988,390.799988,4841600,NFLX
2022-02-28,387.329987,397.75,382.130005,394.519989,394.519989,5035000,NFLX
2022-03-01,391.600006,395.0,383.709991,386.23999,386.23999,3290400,NFLX
2022-03-02,388.929993,389.220001,375.209991,380.029999,380.029999,5356800,NFLX
2022-03-03,386.0,386.119995,364.649994,368.070007,368.070007,6076800,NFLX
2022-03-04,368.0,374.820007,357.170013,361.730011,361.730011,5325500,NFLX
2022-03-07,360.410004,362.0,350.200012,350.26001,350.26001,5708400,NFLX
2022-03-08,349.799988,358.859985,340.670013,341.76001,341.76001,6428700,NFLX
2022-03-09,357.690002,364.140015,350.51001,358.790009,358.790009,6520200,NFLX
2022-03-10,356.200012,367.019989,353.299988,356.769989,356.769989,4807800,NFLX
2022-03-11,361.190002,363.359985,340.0,340.320007,340.320007,4819900,NFLX
2022-03-14,338.720001,341.320007,329.820007,331.01001,331.01001,5907800,NFLX
2022-03-15,335.100006,345.359985,332.359985,343.75,343.75,5460600,NFLX
2022-03-16,348.200012,359.98999,343.059998,357.529999,357.529999,6982500,NFLX
2022-03-17,359.700012,373.309998,354.880005,371.399994,371.399994,5818300,NFLX
2022-03-18,372.0,381.799988,368.470001,380.600006,380.600006,8324800,NFLX
2022-03-21,378.019989,381.820007,368.940002,374.589996,374.589996,4866500,NFLX
2022-03-22,371.140015,386.660004,366.76001,382.920013,382.920013,4242800,NFLX
2022-03-23,379.769989,382.459991,374.48999,374.48999,374.48999,3729000,NFLX
2022-03-24,379.76001,379.76001,368.899994,375.709991,375.709991,3888500,NFLX
2022-03-25,377.070007,377.640015,366.429993,373.850006,373.850006,3574500,NFLX
2022-03-28,375.230011,380.279999,366.730011,378.51001,378.51001,4323400,NFLX
2022-03-29,384.390015,396.5,380.329987,391.820007,391.820007,5880700,NFLX
2022-03-30,389.549988,392.700012,378.630005,381.470001,381.470001,4023300,NFLX
2022-03-31,383.589996,384.0,373.609985,374.589996,374.589996,4134700,NFLX
2022-04-01,376.799988,380.869995,368.5,373.470001,373.470001,4644200,NFLX
2022-04-04,373.549988,396.019989,373.130005,391.5,391.5,7001800,NFLX
2022-04-05,389.299988,390.0,377.309998,380.149994,380.149994,4234500,NFLX
2022-04-06,374.149994,376.470001,362.730011,368.350006,368.350006,4354900,NFLX
2022-04-07,365.0,368.540009,353.690002,362.149994,362.149994,4948900,NFLX
2022-04-08,361.959991,362.5,354.869995,355.880005,355.880005,4025200,NFLX
2022-04-11,350.0,354.779999,345.200012,348.0,348.0,3777100,NFLX
2022-04-12,355.910004,359.410004,342.25,344.100006,344.100006,3824300,NFLX
2022-04-13,343.920013,352.0,341.160004,350.429993,350.429993,3231000,NFLX
2022-04-14,350.950012,352.0,339.859985,341.130005,341.130005,4343800,NFLX
2022-04-18,340.0,342.359985,331.619995,337.859985,337.859985,5105000,NFLX
2022-04-19,333.220001,351.679993,333.220001,348.609985,348.609985,20906900,NFLX
2022-04-20,245.199997,248.699997,212.509995,226.190002,226.190002,133387500,NFLX
2022-04-21,220.0,227.679993,211.520004,218.220001,218.220001,53501600,NFLX
2022-04-22,220.179993,226.270004,210.050003,215.520004,215.520004,37515100,NFLX
2022-04-25,213.809998,216.660004,204.509995,209.910004,209.910004,28152000,NFLX
2022-04-26,208.800003,209.149994,198.279999,198.399994,198.399994,20318100,NFLX
2022-04-27,194.009995,200.190002,187.770004,188.539993,188.539993,22298400,NFLX
2022-04-28,191.559998,201.479996,185.600006,199.520004,199.520004,21363200,NFLX
2022-04-29,198.679993,204.710007,190.0,190.360001,190.360001,16356600,NFLX
2022-05-02,191.710007,200.210007,190.009995,199.460007,199.460007,14591600,NFLX
2022-05-03,198.289993,203.199997,194.770004,199.869995,199.869995,11839400,NFLX
2022-05-04,197.649994,204.380005,191.009995,204.009995,204.009995,12218800,NFLX
2022-05-05,200.449997,200.710007,186.0,188.320007,188.320007,13971300,NFLX
2022-05-06,186.75,187.210007,175.809998,180.970001,180.970001,17167500,NFLX
2022-05-09,177.660004,183.199997,172.300003,173.100006,173.100006,14031300,NFLX
2022-05-10,176.009995,181.869995,170.570007,177.660004,177.660004,13883900,NFLX
2022-05-11,176.089996,180.919998,165.550003,166.369995,166.369995,12665500,NFLX
2022-05-12,163.960007,177.580002,162.710007,174.309998,174.309998,17662100,NFLX
2022-05-13,177.160004,187.770004,176.009995,187.639999,187.639999,13103800,NFLX
2022-05-16,193.300003,195.889999,185.699997,186.509995,186.509995,16145000,NFLX
2022-05-17,189.169998,191.399994,185.169998,190.559998,190.559998,9876700,NFLX
2022-05-18,186.720001,187.699997,176.270004,177.190002,177.190002,9637800,NFLX
